,date,rd_link_cd,signgu_cd,signgu_nm,adstrd_cd,adstrd_nm,dayweek_cd,agrde_cd,tmzon_cd,flpop_co
8439027,201612,22419,11290,己合备,11290640,沥釜3悼,1,0,2,0.342
8439048,201612,22419,11290,己合备,11290640,沥釜3悼,1,30,2,0.076
8439055,201612,22419,11290,己合备,11290640,沥釜3悼,1,40,2,0.152
8439062,201612,22419,11290,己合备,11290640,沥釜3悼,1,50,2,0.114
8601609,201612,24125,11290,己合备,11290640,沥釜3悼,1,0,2,0.19542857
8601623,201612,24125,11290,己合备,11290640,沥釜3悼,1,20,2,0.19542857
8616701,201612,24276,11290,己合备,11290640,沥釜3悼,1,0,2,0.20266667
8616715,201612,24276,11290,己合备,11290640,沥釜3悼,1,20,2,0.20266667
8618171,201612,24295,11290,己合备,11290640,沥釜3悼,1,0,2,0.50666666
8618185,201612,24295,11290,己合备,11290640,沥釜3悼,1,20,2,0.50666666
8621993,201612,24337,11290,己合备,11290640,沥釜3悼,1,0,2,0.9712
8622007,201612,24337,11290,己合备,11290640,沥釜3悼,1,20,2,0.9712
8624639,201612,24365,11290,己合备,11290640,沥釜3悼,1,0,2,1.112
8624653,201612,24365,11290,己合备,11290640,沥釜3悼,1,20,2,1.112
8626991,201612,24389,11290,己合备,11290640,沥釜3悼,1,0,2,0.608
8627005,201612,24389,11290,己合备,11290640,沥釜3悼,1,20,2,0.608
8638947,201612,24507,11290,己合备,11290640,沥釜3悼,1,0,2,0.11377778
8638975,201612,24507,11290,己合备,11290640,沥釜3悼,1,40,2,0.05688889
8638982,201612,24507,11290,己合备,11290640,沥釜3悼,1,50,2,0.05688889
8641299,201612,24531,11290,己合备,11290640,沥釜3悼,1,0,2,0.128
8641327,201612,24531,11290,己合备,11290640,沥釜3悼,1,40,2,0.064
8641334,201612,24531,11290,己合备,11290640,沥釜3悼,1,50,2,0.064
8641397,201612,24532,11290,己合备,11290640,沥釜3悼,1,0,2,0.0512
8641425,201612,24532,11290,己合备,11290640,沥釜3悼,1,40,2,0.0256
8641432,201612,24532,11290,己合备,11290640,沥釜3悼,1,50,2,0.0256
8642083,201612,24539,11290,己合备,11290640,沥釜3悼,1,0,2,0.34
8642111,201612,24539,11290,己合备,11290640,沥釜3悼,1,40,2,0.17
8642118,201612,24539,11290,己合备,11290640,沥釜3悼,1,50,2,0.17
8644239,201612,24561,11290,己合备,11290640,沥釜3悼,1,0,2,0.084
8644267,201612,24561,11290,己合备,11290640,沥釜3悼,1,40,2,0.042
8644274,201612,24561,11290,己合备,11290640,沥釜3悼,1,50,2,0.042
8653059,201612,24651,11290,己合备,11290640,沥釜3悼,1,0,2,0.508
8653087,201612,24651,11290,己合备,11290640,沥釜3悼,1,40,2,0.254
8653094,201612,24651,11290,己合备,11290640,沥釜3悼,1,50,2,0.254
8653157,201612,24652,11290,己合备,11290640,沥釜3悼,1,0,2,0.256
8653185,201612,24652,11290,己合备,11290640,沥釜3悼,1,40,2,0.128
8653192,201612,24652,11290,己合备,11290640,沥釜3悼,1,50,2,0.128
8658449,201612,24707,11290,己合备,11290640,沥釜3悼,1,0,2,5.961625
8658456,201612,24707,11290,己合备,11290640,沥釜3悼,1,10,2,0.178125
8658463,201612,24707,11290,己合备,11290640,沥釜3悼,1,20,2,0.035625
8658470,201612,24707,11290,己合备,11290640,沥釜3悼,1,30,2,1.39825
8658477,201612,24707,11290,己合备,11290640,沥釜3悼,1,40,2,1.724375
8658484,201612,24707,11290,己合备,11290640,沥釜3悼,1,50,2,1.52575
8658491,201612,24707,11290,己合备,11290640,沥釜3悼,1,60,2,1.0995
8658498,201612,24707,11290,己合备,11290640,沥釜3悼,2,0,2,2.3690624
8658519,201612,24707,11290,己合备,11290640,沥釜3悼,2,30,2,0.43875
8658526,201612,24707,11290,己合备,11290640,沥釜3悼,2,40,2,0.7896875
8658533,201612,24707,11290,己合备,11290640,沥釜3悼,2,50,2,0.7896875
8658540,201612,24707,11290,己合备,11290640,沥釜3悼,2,60,2,0.3509375
8660213,201612,24725,11290,己合备,11290640,沥釜3悼,1,0,2,0.1104
8660241,201612,24725,11290,己合备,11290640,沥釜3悼,1,40,2,0.0552
8660248,201612,24725,11290,己合备,11290640,沥釜3悼,1,50,2,0.0552
8660899,201612,24732,11290,己合备,11290640,沥釜3悼,1,0,2,0.5928
8660913,201612,24732,11290,己合备,11290640,沥釜3悼,1,20,2,0.5928
8660997,201612,24733,11290,己合备,11290640,沥釜3悼,1,0,2,1.1121666
8661011,201612,24733,11290,己合备,11290640,沥釜3悼,1,20,2,1.1121666
8664035,201612,24764,11290,己合备,11290640,沥釜3悼,1,0,2,0.14133333
8664063,201612,24764,11290,己合备,11290640,沥釜3悼,1,40,2,0.07066666
8664070,201612,24764,11290,己合备,11290640,沥釜3悼,1,50,2,0.07066666
8668837,201612,24812,11290,己合备,11290640,沥釜3悼,1,0,2,0.298
8668865,201612,24812,11290,己合备,11290640,沥釜3悼,1,40,2,0.149
8668872,201612,24812,11290,己合备,11290640,沥釜3悼,1,50,2,0.149
8668935,201612,24813,11290,己合备,11290640,沥釜3悼,1,0,2,0.168
8668963,201612,24813,11290,己合备,11290640,沥釜3悼,1,40,2,0.084
8668970,201612,24813,11290,己合备,11290640,沥釜3悼,1,50,2,0.084
8674423,201612,24872,11290,己合备,11290640,沥釜3悼,1,0,2,0.084
8674451,201612,24872,11290,己合备,11290640,沥釜3悼,1,40,2,0.042
