연 번,관리기관,설치연도,설치구간,연장(m)
1,종로구,2023,명륜길(명륜길 74 ~ 명륜9길 1),160
2,종로구,2023,사직로1길(행촌동 174-5 ~ 171-35),75
3,종로구,2023,사직로1다길(행촌동 201-172 ~ 171-120),95
4,종로구,2023,평창길(평창동 435-2 ~ 평창동 448),150
5,종로구,2023,평창30길(평창동 66-28 ~ 464-14),210
6,종로구,2023,홍지문길(구기동 54-13 ~ 40-1),190
7,종로구,2023,백석동길(창의문로 132 ~ 백석동길 12-1),105
8,종로구,2023,창덕궁길(창덕궁길 190 ~ 창덕궁5길 40),355
9,종로구,2023,율곡로19길(율곡로19길 24 ~ 율곡로 19길 68-2),175
10,종로구,2023,홍지문길(홍지문길 2 ~ 홍지문2길 2),130
11,종로구,2023,평창20길(평창동 148-16 ~ 평창동 139-5),130
12,종로구,2024,성균관로13길(명륜1가 7-69 ~ 명륜3가 1-1003),275
13,종로구,2024,명륜10길(명륜9길 3-2 ~ 명륜10길 16),80
14,종로구,2024,동망산길(숭인동 7-8 ~ 숭인동 24-3),200
15,종로구,2024,홍지문길(홍지문2길 2 ~ 구기동 41-4),550
16,종로구,2024,평창21길(평창문화로 99 ~ 평창21길 9-14),220
17,종로구,2024,평창길(평창길 52 ~ 평창문화로 33),550
18,종로구,2024,평창4길(평창4길 1 ~ 평창4길 9-1),100
19,중구,2020,중림로4길,170
20,중구,2020,퇴계로6가길,60
21,중구,2020,다산로36길,250
22,중구,2020,장충단로10길,45
23,중구,2022,필동로8길,330
24,중구,2022,퇴계로6길,120
25,중구,2022,동호로15길,40
26,중구,2022,동호로11나길,65
27,중구,2022,동호로17길,150
28,중구,2022,퇴계로88다길,42
29,중구,2023,퇴계로90길,100
30,중구,2022,동호로11나길 81 ~ 동호로11나길 60(동호로11나길),140
31,중구,2022,동호로17길 133 ~ 동호로17길 131-18(동호로17길),65
32,중구,2022,퇴계로88다길 37~ 다산로36가길 38(다산로36가길),42
33,중구,2023,퇴계로90길 73~퇴계로88가길 48-26(퇴계로90길),100
34,중구,2023,동호로5길 19~다산로 32(동호로5길),150
35,중구,2023,동호로25가길 21 ~ 동호로25길 46(동호로25가길),200
36,중구,2023,동호로25가길 3 ~ 9(동호로25가길),50
37,중구,2023,만리재로21길 9 ~ 13(만리재로21길),60
38,중구,2023,중림로2길 3 ~ 31(중림로2길),170
39,중구,2023,만리재로37길 43 ~ 64(만리재로37길),130
40,중구,2023,필동로8길 63 ~ 61-7(필동로8길),65
41,중구,2023,난계로 130(난계로10길),105
42,중구,2023,동호로17다길 2 ~ 2-13(동호로17다길),80
43,중구,2023,동호로17다길 12 ~ 2-13(동호로17다길),70
44,중구,2023,동호로15길 103 ~ 97-42(동호로15길),128
45,중구,2023,동호로11바길 23 ~ 33(동호로11바길),40
46,중구,2023,동호로17가길 2 ~ 18(동호로17가길),92
47,중구,2023,동호로8길 17 ~ 50(동호로8길),150
48,중구,2023,다산로 58 ~ 다산로4길 10(다산로4길),60
49,중구,2023,다산로44길 95 ~ 119(다산로44길),140
50,중구,2023,소공로6가길 2 ~ 29(소공로6가길),140
51,중구,2023,동호로5길(상부),155
52,중구,2025,퇴계로12길 64 ,175
53,중구,2025,동호로15길 95,80
54,중구,2025,동호로17길 295,160
55,중구,2025,퇴계로20나길 31,90
56,중구,2025,퇴계로18길 103,60
57,중구,2025,동호로25길 41,85
58,중구,2025,장충단로6길 59 ,60
59,중구,2025,동호로11라길 21,110×1
60,중구,2025,동호로17다길 19 ,95×1
61,중구,2025,서소문로2길 6,190×1
62,중구,2025,만리재로35길 33,120×1
63,중구,2025,동호로15길 93,130x1
64,중구,2025,동호로11차길 20 ,85x1
65,중구,2025,동호로17길 173,90x1
66,중구,2025,동호로17길 211,85x1
67,용산구,2022,대사관로 12길 4-8 ~ 이태원로 222,235
68,용산구,2022,소월로 20길 6~12,65
69,용산구,2022,회나무로 90 ~ 회나무로 44길 2,50
70,용산구,2023,신흥로1차(신흥로93~123),370
71,용산구,2023,효창원로86가길(효창원로86가길26~33),120
72,용산구,2023,신흥로2차(신흥로56~87),330
73,용산구,2023,효창원로(220~228),150
74,용산구,2023,장문로(서빙고로417~장문로141),100
75,용산구,2023,한남동812(독서당로101~103),90
76,용산구,2023,신흥로3가길(신흥로5길69~신흥로3가길 38),230
77,용산구,2023,효창원로15길(효창원로15길 42~효창원로35),290
78,용산구,2024,소월로38길(소월로38길 30~4),162
79,용산구,2024,독서당로29길(독서당로129~독서당로29길5-6),150
80,용산구,2024,한남대로20갈(독서당로89),22
81,용산구,2024,두텁바위로5길(두텁바위로5길9~26),90
82,용산구,2024,백범로45길(백범로45길5~8),40
83,용산구,2024,효창원로104길(효창원로266~104가길1`,32
84,용산구,2024,효창원로86라길(효창원로86길 67~86라길14),70
85,용산구,2024,회나무로21길1~회나무로41길 5,430
86,용산구,2024,효창원로154~효창원로72길20,80
87,용산구,2024,장문로66-1~60,55
88,용산구,2024,삼개로(청암동187~산천동202),220
89,용산구,2025,한강대로94길,40
90,용산구,2025,효창원로 178~청파로47길99,200
91,용산구,2025,청암동 176,70
92,용산구,2025,백범로313~백범로79길9(용산롯데캐슬),80
93,용산구,2025,임정로 13~임정로 5,90
94,용산구,2025,임정로 35~임정로 13,225
95,용산구,2025,임정로29길(데시앙아파트),35
96,용산구,2025,백범로 51길(kcc스위첸),20
97,용산구,2025,보광로95~녹사평대로26길 92(엔틱가구거리),40
98,용산구,2025,녹사평대로46가길 7~ 47(이태원초교),240
99,용산구,2025,회나무로 24 ~회나무로12나길 2(디지텍고등학교),160
100,용산구,2025,회나무로12나길6~회나무로12나길 14,60
101,용산구,2025,한남대로 10길 36~60,130
102,용산구,2025,장문로 24 ~ 30(청화아파트 후문),70
103,용산구,2025,녹사평대로14길14~서빙고동1-29,120
104,용산구,2025,서빙고로91길 10~보광로5길 37,55
105,용산구,2025,두텁바위로 125~91,125
106,용산구,2025,후암로28나길 11 ~ 두텁바위로 149,230
107,용산구,2025,후암동48길 15 ~ 두텁바위로 177,240
108,성동구,2018,"금호산길 30 ~ 40, 보도",160
109,성동구,2018,"옥수초 정문 앞(금호로1길 27), 차도",5
110,성동구,2020,"응봉초 통학로(독서당로 384 ~ 독서당로62길 10), 보도",95
111,성동구,2020,"금북초 후문 통학로(난계로 61-19 ~ 난계로 63), 보도",40
112,성동구,2020,"응봉교앞 보도육교(행당동 330-2), 보도",25
113,성동구,2021,"응봉초 통학로(독서당로 384 ~ 독서당로62길 14), 차도",105
114,성동구,2021,"금호산길 10-1 ~ 40, 차도",310
115,성동구,2021,"금호자이1차 @(금호로 111 ~ 금호로 117), 차도",220
116,성동구,2021,"동산초 통학로(매봉18길 109 ~ 금호동2가 1-4), 차도",250
117,성동구,2021,"금옥초 통학로(독서당로 251-24 ~ 독서당로 253), 차도",150
118,성동구,2021,"옥수교회 주변(독서당로 227), 차도",135
