구간번호,관리청,도로분류,대표지역,도로(노선)명,총길이(km),기점 위도(WGS84(4326)),기점 경도(WGS84(4326)),종점 위도(WGS84(4326)),종점 경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
28720-41,인천광역시(옹진군),군도,인천광역시 옹진군,군도32-1호선,1,37.9741018,124.6192498,37.97047284,124.6207886,-0.001538803,0.003628963,112.9785817
28720-40,인천광역시(옹진군),군도,인천광역시 옹진군,군도33호선,1.65,37.94836359,124.6525052,37.92726429,124.6628753,-0.010370119,0.021099291,116.1737179
28720-39,인천광역시(옹진군),군도,인천광역시 옹진군,군도33호선,0.91,37.92736458,124.6632741,37.94435445,124.6544317,0.008842364,-0.01698987,297.4946856
28720-5,인천광역시(옹진군),군도,인천광역시 옹진군,군도32호선,1.5,37.97597025,124.6694335,37.97021023,124.6213933,0.048040291,0.005760025,6.837118239
28720-3,인천광역시(옹진군),군도,인천광역시 옹진군,군도31호선,0.5,37.96390005,124.6769292,37.9630762,124.6733516,0.003577644,0.000823846,12.96778837
28720-10,인천광역시(옹진군),군도,인천광역시 옹진군,군도41호선,0.35,37.81105073,124.6887725,37.80991472,124.688643,0.000129491,0.001136011,83.49708476
28720-7,인천광역시(옹진군),군도,인천광역시 옹진군,군도41호선,0.8,37.82402698,124.6919373,37.81831504,124.6809381,0.010999249,0.005711946,27.44300201
28720-44,인천광역시(옹진군),군도,인천광역시 옹진군,군도41호선,0.3,37.80865099,124.6923093,37.80871784,124.6947278,-0.002418554,-6.68553E-05,181.5834058
28720-6,인천광역시(옹진군),군도,인천광역시 옹진군,군도32호선,0.7,37.97814051,124.6925851,37.97396451,124.6927631,-0.000177997,0.004176,92.44068849
28720-4,인천광역시(옹진군),군도,인천광역시 옹진군,군도31호선,0.9,37.97426122,124.7069125,37.97364669,124.7020734,0.004839054,0.000614526,7.237419128
28720-8,인천광역시(옹진군),군도,인천광역시 옹진군,군도41호선,0.4,37.81597395,124.7071427,37.81415164,124.7047213,0.002421357,0.001822313,36.96512258
28720-9,인천광역시(옹진군),군도,인천광역시 옹진군,군도41호선,1.1,37.83071318,124.7134232,37.83513963,124.7106258,0.002797406,-0.004426448,302.291881
28720-2,인천광역시(옹진군),군도,인천광역시 옹진군,군도31호선,0.2,37.96735122,124.7182148,37.97156829,124.7161667,0.002048084,-0.004217064,295.9042577
46910-12,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.8,34.66072173,125.3961661,34.65506965,125.390002,0.006164064,0.005652078,42.51896296
46910-13,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.7,34.65219513,125.3975156,34.64785281,125.4074951,-0.009979546,0.004342325,156.4850567
46910-11,전라남도(신안군),군도,전라남도 신안군,군도28호선,1,34.67022225,125.3985637,34.66279853,125.3976847,0.000879,0.007423717,83.24737522
46910-34,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.5,34.6791315,125.4073698,34.67028499,125.3986607,0.008709131,0.008846514,45.44836452
46910-9,전라남도(신안군),군도,전라남도 신안군,군도28호선,0.6,34.6860092,125.409598,34.68159823,125.4093307,0.000267313,0.004410969,86.53200588
46910-8,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.2,34.69229963,125.4166786,34.68672062,125.4109596,0.005718972,0.005579009,44.29023919
46910-18,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.6,34.65938469,125.4196346,34.64889821,125.4200788,-0.000444204,0.01048648,92.42558124
46910-19,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.8,34.64889269,125.4200439,34.64449787,125.4130546,0.006989282,0.004394818,32.16143263
46910-17,전라남도(신안군),군도,전라남도 신안군,군도28호선,0.8,34.66271855,125.4249183,34.66026924,125.4196087,0.005309512,0.002449309,24.76415223
46910-7,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.6,34.6937178,125.4286674,34.69359693,125.4169512,0.011716245,0.000120866,0.591050084
46910-16,전라남도(신안군),군도,전라남도 신안군,군도28호선,0.7,34.66161166,125.4314284,34.66196752,125.426247,0.005181369,-0.00035586,356.0710599
46910-15,전라남도(신안군),군도,전라남도 신안군,군도28호선,1.5,34.67151653,125.437061,34.66738018,125.4336463,0.00341464,0.004136354,50.45967278
46910-14,전라남도(신안군),군도,전라남도 신안군,군도28호선,2,34.68302358,125.4434015,34.67372336,125.4364988,0.006902744,0.009300226,53.41673151
28720-1,인천광역시(옹진군),군도,인천광역시 옹진군,군도21호선,1.5,37.65928119,125.7013062,37.65904341,125.7008364,0.000469842,0.000237777,26.84304151
46910-6,전라남도(신안군),군도,전라남도 신안군,군도17호선,1.2,34.69005826,125.9824578,34.68995781,125.994139,-0.011681168,0.000100446,179.5073277
46000-48,전라남도(도로관리사업소),지방도,전라남도 신안군,지방도805호선,0.8,34.90099026,126.0457264,34.90404939,126.0523707,-0.006644229,-0.003059131,204.7222544
46000-46,전라남도(도로관리사업소),지방도,전라남도 신안군,지방도805호선,1.2,34.88117129,126.0472795,34.87105618,126.0474072,-0.000127759,0.010115115,90.7236344
46910-29,전라남도(신안군),농어촌도로,전라남도 신안군,면도102호선,0.5,34.86161979,126.0582773,34.86054798,126.0528457,0.00543159,0.001071811,11.16271842
46000-67,전라남도(도로관리사업소),지방도,전라남도 신안군,지방도805호선,1,34.85955961,126.0655639,34.85207359,126.0699057,-0.004341844,0.007486016,120.1134741
