순위,link_id,자치구,행정동,경사등급,경사도%,길이m,유동인구합,경사점수,유동점수,시급도,위도,경도
1,32731,성북구,정릉2동,10_plus,18.28,67.0,238.624756,100,98.7,99.3,37.60479,127.01106
2,34941,성북구,정릉2동,10_plus,16.75,67.6,208.909256,100,98.1,99.0,37.60141,127.0136
3,32730,성북구,정릉2동,10_plus,15.59,44.9,205.738,100,97.8,98.9,37.60448,127.01171
4,32465,성북구,정릉2동,10_plus,11.63,88.6,202.5428,100,97.7,98.8,37.60557,127.01136
5,32225,성북구,정릉2동,10_plus,11.0,55.0,189.9216,100,97.4,98.7,37.60511,127.01158
6,32408,성북구,정릉2동,10_plus,12.44,76.7,170.42575,100,96.6,98.3,37.60489,127.01086
7,32753,성북구,정릉2동,10_plus,17.59,63.7,157.416337,100,96.3,98.1,37.60445,127.01086
8,34203,성북구,정릉2동,10_plus,11.33,58.4,138.02711779999998,100,94.6,97.3,37.60259,127.01283
9,37870,성북구,돈암2동,10_plus,18.56,58.5,129.9588,100,94.3,97.1,37.59863,127.01364
10,37215,성북구,돈암2동,10_plus,20.37,43.9,114.848336,100,93.2,96.5,37.59929,127.01435
11,36973,성북구,돈암2동,10_plus,12.45,49.7,110.5968565,100,92.9,96.4,37.59952,127.01454
12,36906,성북구,돈암2동,10_plus,13.04,153.8,104.1838578,100,92.2,96.0,37.60008,127.01351
13,38528,성북구,돈암2동,10_plus,12.62,43.0,97.2416679,100,91.4,95.6,37.59801,127.01502
14,33427,성북구,정릉2동,10_plus,27.07,34.1,88.5455,100,90.2,95.0,37.60349,127.01329
15,37655,성북구,정릉2동,10_plus,14.27,33.7,85.774,100,89.7,94.7,37.59883,127.01131
16,35165,성북구,정릉2동,10_plus,16.61,97.1,74.8386675,100,87.6,93.6,37.602,127.01135
17,36728,성북구,정릉2동,10_plus,13.5,46.6,72.8586664,100,87.1,93.3,37.59973,127.01128
18,34414,성북구,정릉2동,10_plus,10.5,61.0,69.916,100,86.0,92.7,37.602,127.01135
19,37656,성북구,정릉2동,10_plus,13.78,89.6,67.94,100,85.5,92.5,37.59893,127.01132
20,29328,성북구,정릉2동,10_plus,10.07,46.3,68.176,100,85.6,92.5,37.60824,127.01544
21,28562,성북구,정릉3동,10_plus,13.93,64.1,66.3588581,100,85.0,92.2,37.60955,127.00599
22,37573,성북구,돈암2동,10_plus,14.23,117.6,56.766,100,82.2,90.7,37.59976,127.01319
23,33192,성북구,정릉2동,10_plus,10.67,56.8,54.9628,100,81.3,90.2,37.60411,127.0086
24,37806,성북구,정릉2동,10_plus,12.5,107.5,48.8064613,100,78.7,88.7,37.59871,127.0113
25,47535,성북구,성북동,10_plus,27.73,61.7,46.60342797,100,77.2,87.9,37.58951,127.00531
26,34413,성북구,정릉2동,10_plus,11.69,61.0,44.946,100,75.8,87.1,37.60253,127.01149
27,33428,성북구,정릉2동,10_plus,10.62,30.2,39.8868,100,72.9,85.4,37.60364,127.01295
28,43418,성북구,성북동,10_plus,12.89,44.5,39.584667,100,72.8,85.3,37.59335,127.00084
29,33791,성북구,정릉2동,10_plus,13.33,185.2,36.609909287,100,70.3,83.8,37.60371,127.00909
30,35497,성북구,정릉2동,6_10,9.51,119.2,211.65599930000002,70,98.2,82.9,37.60087,127.01416
31,33022,성북구,정릉2동,6_10,9.88,64.4,172.142501,70,97.0,82.4,37.60445,127.01086
32,33531,성북구,정릉2동,10_plus,10.7,77.3,33.01342828,100,67.5,82.2,37.60369,127.01283
33,28563,성북구,정릉3동,6_10,8.41,66.5,144.4004,70,95.2,81.6,37.60913,127.0052
34,46299,성북구,성북동,10_plus,10.06,115.7,31.364000081,100,66.6,81.6,37.59048,127.00409
35,39407,성북구,돈암2동,10_plus,11.66,133.4,30.04866638,100,66.1,81.3,37.59713,127.01252
36,36430,성북구,돈암2동,6_10,7.57,53.6,109.757667,70,92.7,80.6,37.60001,127.01482
37,30361,성북구,정릉2동,10_plus,10.58,76.0,28.8045718,100,64.7,80.4,37.60764,127.01549
38,32293,성북구,정릉2동,6_10,7.73,63.1,103.5122826,70,92.0,80.2,37.60503,127.01059
39,38402,성북구,돈암2동,10_plus,13.09,112.8,26.027000293,100,61.8,78.6,37.59816,127.01554
40,32961,성북구,정릉2동,10_plus,16.1,52.3,25.51333323,100,61.3,78.3,37.60416,127.01316
